ocid,id,language,publisher/name,date,tender/id,tender/localProcurementCategory,tender/procurementMethodDetails,tender/procurementMethod,tag,initiationType,buyer/id,buyer/name
ocds-lcuori-5616,ocds-lcuori-5616/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-12T11:04:52-06:00,5616,goodsOrServices,Convenio Marco,open,contract,tender,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5620,ocds-lcuori-5620/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-12T11:47:32-06:00,5620,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5624,ocds-lcuori-5624/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-12T12:48:17-06:00,5624,goodsOrServices,Convenio Marco,open,contract,tender,byQwDr-byP1K8-lzWOzp,GERENCIA ADMINISTRATIVA
ocds-lcuori-5626,ocds-lcuori-5626/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-12T13:44:57-06:00,5626,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5629,ocds-lcuori-5629/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-12T14:31:02-06:00,5629,goodsOrServices,Convenio Marco,open,contract,tender,NrAEr4-byP1K8-byP1K8,DIRECCION DE FINANZAS Y ADMINISTRACION
ocds-lcuori-5632,ocds-lcuori-5632/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-13T10:07:03-06:00,5632,goodsOrServices,Convenio Marco,open,contract,tender,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5655,ocds-lcuori-5655/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-05-27T10:36:03-06:00,5655,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5657,ocds-lcuori-5657/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-05-27T15:39:43-06:00,5657,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5664,ocds-lcuori-5664/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-07-02T16:29:41-06:00,5664,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5668,ocds-lcuori-5668/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-07-31T15:21:50-06:00,5668,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5675,ocds-lcuori-5675/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-08-15T16:55:39-06:00,5675,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5687,ocds-lcuori-5687/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-08-19T13:46:43-06:00,5687,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5694,ocds-lcuori-5694/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-08-28T09:28:37-06:00,5694,goodsOrServices,Convenio Marco,open,contract,tender,nz0ARy-byP1K8-byP1K8,SECRETARIA DE ESTADO
ocds-lcuori-5696,ocds-lcuori-5696/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-09-04T10:31:39-06:00,5696,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5700,ocds-lcuori-5700/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-09-17T16:33:26-06:00,5700,goodsOrServices,Convenio Marco,open,contract,tender,wrLGQK-byP1K8-byP1K8,DIRECCION EJECUTIVA DE INGRESOS
ocds-lcuori-5702,ocds-lcuori-5702/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-09-24T14:42:54-06:00,5702,goodsOrServices,Convenio Marco,open,contract,tender,OzGdoy-byP1K8-byP1K8,ADMINISTRACION CENTRAL
ocds-lcuori-5731,ocds-lcuori-5731/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-12-04T13:20:09-06:00,5731,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-qyVbya,ONCAE
ocds-lcuori-5785,ocds-lcuori-5785/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-12-31T16:52:35-06:00,5785,goodsOrServices,Convenio Marco,open,contract,tender,RKZayY-byP1K8-byP1K8,DIRECCION ADMINISTRATIVA IAIP
