ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-222012,ocds-lcuori-222012/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215425,ocds-lcuori-215425/2-contract,rNxg0y-byP1K8,rNxg0y,"Secretaria de Gobernacion, Justicia y Descentralizacion"
ocds-lcuori-215425,ocds-lcuori-215425/2-contract,rNxg0y-byP1K8-byP1K8,rNxg0y-byP1K8,Gerencia Central
ocds-lcuori-222013,ocds-lcuori-222013/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-222013,ocds-lcuori-222013/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215434,ocds-lcuori-215434/2-contract,wrL8Jr-byP1K8,wrL8Jr,Instituto Nacional de Formacion Profesional
ocds-lcuori-215434,ocds-lcuori-215434/2-contract,wrL8Jr-byP1K8-nz0RKj,wrL8Jr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222014,ocds-lcuori-222014/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-222014,ocds-lcuori-222014/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222015,ocds-lcuori-222015/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-222015,ocds-lcuori-222015/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215436,ocds-lcuori-215436/2-contract,wrL8Jr-byP1K8,wrL8Jr,Instituto Nacional de Formacion Profesional
ocds-lcuori-215436,ocds-lcuori-215436/2-contract,wrL8Jr-byP1K8-nz0RKj,wrL8Jr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222023,ocds-lcuori-222023/2-contract,byPeXK-byP1K8,byPeXK,Universidad Nacional Autonoma de Honduras
ocds-lcuori-222023,ocds-lcuori-222023/2-contract,byPeXK-byP1K8-wrLByx,byPeXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215437,ocds-lcuori-215437/2-contract,7rEMr2-byP1K8,7rEMr2,Cuerpo de Bomberos de Honduras
ocds-lcuori-215437,ocds-lcuori-215437/2-contract,7rEMr2-byP1K8-ArxkKR,7rEMr2-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222024,ocds-lcuori-222024/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-222024,ocds-lcuori-222024/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215438,ocds-lcuori-215438/2-contract,byPAjK-byP1K8,byPAjK,Instituto Hondure?o de Turismo
ocds-lcuori-215438,ocds-lcuori-215438/2-contract,byPAjK-byP1K8-qyVbya,byPAjK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222025,ocds-lcuori-222025/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-222025,ocds-lcuori-222025/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215439,ocds-lcuori-215439/2-contract,zloEAr-byP1K8,zloEAr,Servicio de Administracion de Rentas
ocds-lcuori-215439,ocds-lcuori-215439/2-contract,zloEAr-byP1K8-byP1K8,zloEAr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222034,ocds-lcuori-222034/2-contract,wrL8Jr-byP1K8,wrL8Jr,Instituto Nacional de Formacion Profesional
ocds-lcuori-222034,ocds-lcuori-222034/2-contract,wrL8Jr-byP1K8-nz0RKj,wrL8Jr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215442,ocds-lcuori-215442/2-contract,lzlBXK-RyYNKL,lzlBXK,Secretaria de Salud
ocds-lcuori-215442,ocds-lcuori-215442/2-contract,lzlBXK-RyYNKL-wrLByx,lzlBXK-RyYNKL,GERENCIA ADMINISTRATIVA HOSPITAL PSIQUIATRICO SANTA ROSITA
ocds-lcuori-222035,ocds-lcuori-222035/2-contract,gywern-byP1K8,gywern,Secretaria de la Presidencia
ocds-lcuori-222035,ocds-lcuori-222035/2-contract,gywern-byP1K8-xzkmQK,gywern-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215443,ocds-lcuori-215443/2-contract,byPAjK-byP1K8,byPAjK,Instituto Hondure?o de Turismo
ocds-lcuori-215443,ocds-lcuori-215443/2-contract,byPAjK-byP1K8-qyVbya,byPAjK-byP1K8,GERENCIA CENTRAL
