ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name,planning/budget/budgetBreakdown/0/description
ocds-lcuori-vGZWNR-50001090-TEG-1,ocds-lcuori-vGZWNR-50001090-TEG-1/4,vGZWNR-50001090-TEG-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-lRoodR-EUROPEAID-140-310-ID-ACT-HN-2,ocds-lcuori-lRoodR-EUROPEAID-140-310-ID-ACT-HN-2/3,lRoodR-EUROPEAID-140-310-ID-ACT-HN-2,2.0-FNLPKrv,FNLPKrv,Unión Europea,Donación
ocds-lcuori-WRzdbL-LP-012-2019-HT-2,ocds-lcuori-WRzdbL-LP-012-2019-HT-2/4,WRzdbL-LP-012-2019-HT-2,1.0-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-496-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-496-2019-1/6,vGZKAR-CM-AMD-CS-496-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-498-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-498-2019-1/6,vGZKAR-CM-AMD-CS-498-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-0rwYG8-SOLPED-50004972-(2)-1,ocds-lcuori-0rwYG8-SOLPED-50004972-(2)-1/5,0rwYG8-SOLPED-50004972-(2)-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-DL936R-CM-019-CBS-2019-1,ocds-lcuori-DL936R-CM-019-CBS-2019-1/5,DL936R-CM-019-CBS-2019-1,1-FgRNyG6,FgRNyG6,Fondo Común ,Recursos Nacionales
ocds-lcuori-0rwYG8-SOLPED-10001780-1,ocds-lcuori-0rwYG8-SOLPED-10001780-1/6,0rwYG8-SOLPED-10001780-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-orvwnL-CM-526-INP-2019-1,ocds-lcuori-orvwnL-CM-526-INP-2019-1/5,orvwnL-CM-526-INP-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQmwL-CM-164-2019-1,ocds-lcuori-MLQmwL-CM-164-2019-1/5,MLQmwL-CM-164-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-WRz5vG-L. Pública N° 01-2019-Elevadores-2,ocds-lcuori-WRz5vG-L. Pública N° 01-2019-Elevadores-2/7,WRz5vG-L. Pública N° 01-2019-Elevadores-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PR8dYR-144-2019-1,ocds-lcuori-PR8dYR-144-2019-1/5,PR8dYR-144-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gLkw4L-CM-549-CBD-2019-1,ocds-lcuori-gLkw4L-CM-549-CBD-2019-1/5,gLkw4L-CM-549-CBD-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-499-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-499-2019-1/6,vGZKAR-CM-AMD-CS-499-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NrdVGA-CM-357-SEDUC-2019-1,ocds-lcuori-NrdVGA-CM-357-SEDUC-2019-1/6,NrdVGA-CM-357-SEDUC-2019-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
