ocid,id,awards/0/id
ocds-lcuori-MLQPmr-CM-256-PGR-2019-1,ocds-lcuori-MLQPmr-CM-256-PGR-2019-1/3,MLQPmr-CM-256-PGR-2019-1
ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2/6,mGEMGM-LPN-SEFIN-004-2019-2
ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2,ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2/4,7G3n9L-LP 005-2019 FUNDAGES HEAC-2
ocds-lcuori-WRz4xL-CM-416-IHSS-HE-2019-1,ocds-lcuori-WRz4xL-CM-416-IHSS-HE-2019-1/4,WRz4xL-CM-416-IHSS-HE-2019-1
ocds-lcuori-jRDA5r-SOLICITUD748-1,ocds-lcuori-jRDA5r-SOLICITUD748-1/5,jRDA5r-SOLICITUD748-1
ocds-lcuori-gGyD4L-CM-348-MAT-2019-1,ocds-lcuori-gGyD4L-CM-348-MAT-2019-1/4,gGyD4L-CM-348-MAT-2019-1
ocds-lcuori-PLeQ0L-CM-MEP-1368-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1368-19-1/5,PLeQ0L-CM-MEP-1368-19-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-8608-2019-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-8608-2019-1/4,orvovL-UNAH-SEAF-OC-8608-2019-1
ocds-lcuori-DRWQ0L-Honducor-Dc-480-2019-1,ocds-lcuori-DRWQ0L-Honducor-Dc-480-2019-1/3,DRWQ0L-Honducor-Dc-480-2019-1
ocds-lcuori-8L4YaG-CM-0284-INA-2019-1,ocds-lcuori-8L4YaG-CM-0284-INA-2019-1/2,8L4YaG-CM-0284-INA-2019-1
ocds-lcuori-DRWQ0L-Honducor-Dc-483-2019-1,ocds-lcuori-DRWQ0L-Honducor-Dc-483-2019-1/4,DRWQ0L-Honducor-Dc-483-2019-1
ocds-lcuori-PR8ooG-CM-174-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-174-CONAPID-2019-1/5,PR8ooG-CM-174-CONAPID-2019-1
ocds-lcuori-MLQmwL-CM-220-2019-1,ocds-lcuori-MLQmwL-CM-220-2019-1/5,MLQmwL-CM-220-2019-1
ocds-lcuori-kG1Wer-CM-11-FAH-IVR-2019-1,ocds-lcuori-kG1Wer-CM-11-FAH-IVR-2019-1/2,kG1Wer-CM-11-FAH-IVR-2019-1
ocds-lcuori-kG1Wer-CM-12-FAH-IVR-2019-1,ocds-lcuori-kG1Wer-CM-12-FAH-IVR-2019-1/2,kG1Wer-CM-12-FAH-IVR-2019-1
ocds-lcuori-PR847R-ICF-SGM-VEH-044-2019-1,ocds-lcuori-PR847R-ICF-SGM-VEH-044-2019-1/2,PR847R-ICF-SGM-VEH-044-2019-1
ocds-lcuori-WRzj0R-CM-331-007225-PV-2019-1,ocds-lcuori-WRzj0R-CM-331-007225-PV-2019-1/4,WRzj0R-CM-331-007225-PV-2019-1
ocds-lcuori-grxKER-DGMM-CM-0230-2019-1,ocds-lcuori-grxKER-DGMM-CM-0230-2019-1/3,grxKER-DGMM-CM-0230-2019-1
ocds-lcuori-ERpoAG-HBCBC-CM-063-2019-1,ocds-lcuori-ERpoAG-HBCBC-CM-063-2019-1/5,ERpoAG-HBCBC-CM-063-2019-1
ocds-lcuori-7GXbbr-CM-MCH-0400-19-1,ocds-lcuori-7GXbbr-CM-MCH-0400-19-1/2,7GXbbr-CM-MCH-0400-19-1
ocds-lcuori-PR8ooG-CM-282-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-282-CONAPID-2019-1/2,PR8ooG-CM-282-CONAPID-2019-1
ocds-lcuori-wrV53R-EF-030-2BPMOP-2019-1,ocds-lcuori-wrV53R-EF-030-2BPMOP-2019-1/5,wrV53R-EF-030-2BPMOP-2019-1
ocds-lcuori-WRz0xL-CM-SAR-240-2019-1,ocds-lcuori-WRz0xL-CM-SAR-240-2019-1/5,WRz0xL-CM-SAR-240-2019-1
ocds-lcuori-wrV53R-030-UME-6TO-BPMOP-2019-1,ocds-lcuori-wrV53R-030-UME-6TO-BPMOP-2019-1/5,wrV53R-030-UME-6TO-BPMOP-2019-1
ocds-lcuori-PR8ooG-CM-288-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-288-CONAPID-2019-1/3,PR8ooG-CM-288-CONAPID-2019-1
ocds-lcuori-vGZKAR-CM-AMD-CS-719-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-719-2019-1/5,vGZKAR-CM-AMD-CS-719-2019-1
ocds-lcuori-wrV53R-033-PF-6TO-BPMOP-2019-1,ocds-lcuori-wrV53R-033-PF-6TO-BPMOP-2019-1/6,wrV53R-033-PF-6TO-BPMOP-2019-1
ocds-lcuori-DL9kwR-CC-8792-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8792-TSC-2019-1/2,DL9kwR-CC-8792-TSC-2019-1
ocds-lcuori-grxKER-DGMM-CM-0162-2019-1,ocds-lcuori-grxKER-DGMM-CM-0162-2019-1/4,grxKER-DGMM-CM-0162-2019-1
ocds-lcuori-wrV53R-036-5TO BPMOP-2019-1,ocds-lcuori-wrV53R-036-5TO BPMOP-2019-1/5,wrV53R-036-5TO BPMOP-2019-1
ocds-lcuori-DL9kwR-CC-8794-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8794-TSC-2019-1/2,DL9kwR-CC-8794-TSC-2019-1
ocds-lcuori-wrV53R-030-9BTNPMOP-2019-1,ocds-lcuori-wrV53R-030-9BTNPMOP-2019-1/5,wrV53R-030-9BTNPMOP-2019-1
ocds-lcuori-wrV53R-032-BTNPMOP-2019-1,ocds-lcuori-wrV53R-032-BTNPMOP-2019-1/5,wrV53R-032-BTNPMOP-2019-1
ocds-lcuori-DL9kwR-CC-8795-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8795-TSC-2019-1/2,DL9kwR-CC-8795-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8796-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8796-TSC-2019-1/2,DL9kwR-CC-8796-TSC-2019-1
ocds-lcuori-PR8ooG-CM-296-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-296-CONAPID-2019-1/2,PR8ooG-CM-296-CONAPID-2019-1
ocds-lcuori-DL9kwR-CC-8798-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8798-TSC-2019-1/2,DL9kwR-CC-8798-TSC-2019-1
ocds-lcuori-PR8ooG-CM-297-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-297-CONAPID-2019-1/2,PR8ooG-CM-297-CONAPID-2019-1
ocds-lcuori-DL9kwR-CC-8799-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8799-TSC-2019-1/2,DL9kwR-CC-8799-TSC-2019-1
ocds-lcuori-PR8ooG-CM-298-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-298-CONAPID-2019-1/2,PR8ooG-CM-298-CONAPID-2019-1
ocds-lcuori-DL9kwR-CC-8801-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8801-TSC-2019-1/2,DL9kwR-CC-8801-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8526-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8526-TSC-2019-1/4,DL9kwR-CC-8526-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8802-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8802-TSC-2019-1/2,DL9kwR-CC-8802-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8803-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8803-TSC-2019-1/2,DL9kwR-CC-8803-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8533-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8533-TSC-2019-1/4,DL9kwR-CC-8533-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8534-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8534-TSC-2019-1/4,DL9kwR-CC-8534-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8804-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8804-TSC-2019-1/2,DL9kwR-CC-8804-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8536-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8536-TSC-2019-1/4,DL9kwR-CC-8536-TSC-2019-1
ocds-lcuori-DL9kwR-CC-8805-TSC-2019-1,ocds-lcuori-DL9kwR-CC-8805-TSC-2019-1/2,DL9kwR-CC-8805-TSC-2019-1
ocds-lcuori-PR8ooG-CM-299-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-299-CONAPID-2019-1/2,PR8ooG-CM-299-CONAPID-2019-1
