ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-19-2016-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-19-2016-2/3,wrV3LP-LPR-IDECOAS-FHIS-19-2016-2,wrV3LP-LPR-IDECOAS-FHIS-19-2016-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-11-2016-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-11-2016-2/3,wrV3LP-LPR-IDECOAS-FHIS-11-2016-2,wrV3LP-LPR-IDECOAS-FHIS-11-2016-2,300.0,document
ocds-lcuori-PR8wNG-IDECOAS PRONADERS-LPRI-14-2016-HO-OBRAS-2,ocds-lcuori-PR8wNG-IDECOAS PRONADERS-LPRI-14-2016-HO-OBRAS-2/3,PR8wNG-IDECOAS PRONADERS-LPRI-14-2016-HO-OBRAS-2,PR8wNG-IDECOAS PRONADERS-LPRI-14-2016-HO-OBRAS-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-37-AMDC-51-2016-2,ocds-lcuori-2LmqDL-LPrNO-37-AMDC-51-2016-2/3,2LmqDL-LPrNO-37-AMDC-51-2016-2,2LmqDL-LPrNO-37-AMDC-51-2016-2,200.0,document
ocds-lcuori-mrY1dr-LPN-SEDS-002-2016-2,ocds-lcuori-mrY1dr-LPN-SEDS-002-2016-2/3,mrY1dr-LPN-SEDS-002-2016-2,mrY1dr-LPN-SEDS-002-2016-2,2000.0,document
ocds-lcuori-2LmqDL-LPrNO-47-AMDC-61-2016-2,ocds-lcuori-2LmqDL-LPrNO-47-AMDC-61-2016-2/3,2LmqDL-LPrNO-47-AMDC-61-2016-2,2LmqDL-LPrNO-47-AMDC-61-2016-2,200.0,document
ocds-lcuori-kR2paL-10-007-2016-2,ocds-lcuori-kR2paL-10-007-2016-2/3,kR2paL-10-007-2016-2,kR2paL-10-007-2016-2,481700.0,document
ocds-lcuori-kR2paL-10-006-2016-2,ocds-lcuori-kR2paL-10-006-2016-2/3,kR2paL-10-006-2016-2,kR2paL-10-006-2016-2,456000.0,document
ocds-lcuori-kR2paL-10-005-2016-2,ocds-lcuori-kR2paL-10-005-2016-2/3,kR2paL-10-005-2016-2,kR2paL-10-005-2016-2,540000.0,document
ocds-lcuori-2LmqDL-LPrNO-60-AMDC-78-2016-2,ocds-lcuori-2LmqDL-LPrNO-60-AMDC-78-2016-2/3,2LmqDL-LPrNO-60-AMDC-78-2016-2,2LmqDL-LPrNO-60-AMDC-78-2016-2,200.0,document
